Rio Bravo,1959,,
"War and Peace, Part I: Andrei Bolkonsky",1965,,
Through the Olive Trees,1994,,
Mother,2009,,
My Life as a Zucchini,2016,,
"The Cook, the Thief, His Wife & Her Lover",1989,,
Who Killed Captain Alex?,2010,,
Short Term 12,2013,,
What Ever Happened to Baby Jane?,1962,,
Whisper of the Heart,1995,,
The Spirit of the Beehive,1973,,
"Comrades, Almost a Love Story",1996,,
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,,
Pan's Labyrinth,2006,,
The Matrix,1999,,
The Shop Around the Corner,1940,,
"Throw Away Your Books, Rally in the Streets",1971,,
Investigation of a Citizen Above Suspicion,1970,,
All the President's Men,1976,,
A Prophet,2009,,
When a Woman Ascends the Stairs,1960,,
"Rome, Open City",1945,,
All About My Mother,1999,,
From What Is Before,2014,,
Taxi Driver,1976,,
Dogville,2003,,
The Mother and the Whore,1973,,
Amores Perros,2000,,
The Naked Island,1960,,
Hard Boiled,1992,,
Raiders of the Lost Ark,1981,,
Capernaum,2018,,
Stand by Me,1986,,
Get Out,2017,,
Nausicaä of the Valley of the Wind,1984,,
Manila in the Claws of Light,1975,,
Paddington 2,2017,,
The Grapes of Wrath,1940,,
Reservoir Dogs,1992,,
My Night at Maud's,1969,,
"Like Father, Like Son",2013,,
Thelma & Louise,1991,,
Ulysses' Gaze,1995,,
Nashville,1975,,
Roman Holiday,1953,,
Black Swan,2010,,
Little Women,2019,,
Mustang,2015,,
The Holy Mountain,1973,,
It Happened One Night,1934,,
12 Years a Slave,2013,,
Through a Glass Darkly,1961,,
Cool Hand Luke,1967,,
The Fire Within,1963,,
Güeros,2014,,
Angel's Egg,1985,,
Once Upon a Time in Anatolia,2011,,
Céline and Julie Go Boating,1974,,
All Quiet on the Western Front,1930,,
Puss in Boots: The Last Wish,2022,,
Butch Cassidy and the Sundance Kid,1969,,
The Return,2003,,
Charulata,1964,,
After Life,1998,,
Haru,1996,,
Lilya 4-ever,2002,,
3 Women,1977,,
Phantom Thread,2017,,
Hope,2013,,
Joint Security Area,2000,,
The Great Escape,1963,,
Die Nibelungen: Siegfried,1924,,
Threads,1984,,
The Umbrellas of Cherbourg,1964,,
The Gold Rush,1925,,
In the Name of the Father,1993,,
Portrait of a Young Girl at the End of the 60s in Brussels,1994,,
Kumbalangi Nights,2019,,
The Virgin Spring,1960,,
Fitzcarraldo,1982,,
Society of the Snow,2023,,
Anatomy of a Fall,2023,,
Forrest Gump,1994,,
Monty Python and the Holy Grail,1975,,
El sur,1983,,
The Second Mother,2015,,
Joyland,2022,,
"Pretty Village, Pretty Flame",1996,,
Il Posto,1961,,
The Crucified Lovers,1954,,
The Taste of Tea,2004,,
Pariyerum Perumal,2018,,
Midnight Cowboy,1969,,
There's Still Tomorrow,2023,,
Wild Tales,2014,,
C'mon C'mon,2021,,
Kit Kat,1991,,
Beau Travail,1999,,
The Sound of Music,1965,,
Jacquot de Nantes,1991,,
Seconds,1966,,
Rope,1948,,
Gangs of Wasseypur – Part 2,2012,,
Revolutionary Girl Utena: The Adolescence of Utena,1999,,
A City of Sadness,1989,,
Children of Heaven,1997,,
Terrorizers,1986,,
The Color of Pomegranates,1969,,
Kiki's Delivery Service,1989,,
American History X,1998,,
After Hours,1985,,
The Travelling Players,1975,,
Alice in the Cities,1974,,
Dial M for Murder,1954,,
Vada Chennai,2018,,
The Heiress,1949,,
Klaus,2019,,
The Big Lebowski,1998,,
The Leopard,1963,,
McCabe & Mrs. Miller,1971,,
The Fall,2006,,
Pyaasa,1957,,
The Intouchables,2011,,
The Straight Story,1999,,
Shutter Island,2010,,
Aliens,1986,,
The Garden of Sinners: Paradox Spiral,2008,,
Breaking the Waves,1996,,
The Story of the Last Chrysanthemum,1939,,
"Aguirre, the Wrath of God",1972,,
The Hidden Fortress,1958,,
The Double Life of Véronique,1991,,
Patlabor 2: The Movie,1993,,
Gladiator,2000,,
The Burmese Harp,1956,,
A Dog's Will,2000,,
Rebecca,1940,,
Street of Shame,1956,,
The Great Silence,1968,,
Toy Story,1995,,
Scarface,1983,,
A Clockwork Orange,1971,,
About Elly,2009,,
Pride,2014,,
Arrival,2016,,
Logan,2017,,
Memories of Matsuko,2006,,
Happiness,1965,,
Two in the Shadow,1967,,
Coco,2017,,
Sanjuro,1962,,
The Suspended Step of the Stork,1991,,
What We Do in the Shadows,2014,,
Turtles Can Fly,2004,,
A Short Film About Killing,1988,,
The Ox-Bow Incident,1943,,
Kaguya-sama: Love Is War -The First Kiss That Never Ends-,2022,,
The Innocents,1961,,
Riceboy Sleeps,2022,,
Brokeback Mountain,2005,,
A Short Film About Love,1988,,
Blade Runner 2049,2017,,
Falling in Love Like in Movies,2023,,
The Sword of Doom,1966,,
The Wolf House,2018,,
The Servant,1963,,
The Worst Person in the World,2021,,
Cabaret,1972,,
Manchester by the Sea,2016,,
In Bruges,2008,,
The Graduate,1967,,
Amarcord,1973,,
The Killer,1989,,
Ernest & Celestine,2012,,
Love & Pop,1998,,
"So Long, My Son",2019,,
Dead Man's Letters,1986,,
The Bitter Tears of Petra von Kant,1972,,
Days of Heaven,1978,,
The Diving Bell and the Butterfly,2007,,
Eat Drink Man Woman,1994,,
Kanal,1957,,
Jurassic Park,1993,,
Moving,1993,,
1917,2019,,
Silenced,2011,,
Downfall,2004,,
Adaptation.,2002,,
Out of the Past,1947,,
The Tragedy of Man,2011,,
The Banshees of Inisherin,2022,,
Blow Out,1981,,
Anbe Sivam,2003,,
Short Cuts,1993,,
The Royal Tenenbaums,2001,,
Pink Floyd: The Wall,1982,,
Shin Chan: The Adult Empire Strikes Back,2001,,
Tokyo Sonata,2008,,
Cosy Dens,1999,,
La La Land,2016,,
Safety Last!,1923,,
Mr. Smith Goes to Washington,1939,,
Harold and Maude,1971,,
Pride & Prejudice,2005,,
Mulan,1998,,
Wolf Children,2012,,
Last Year at Marienbad,1961,,
Close,2022,,
Blade Runner,1982,,
Violet Evergarden: The Movie,2020,,
"Up, Down, Fragile",1995,,
Harry Potter and the Prisoner of Azkaban,2004,,
The Iron Claw,2023,,
The Florida Project,2017,,
Camera Buff,1979,,
Twenty-Four Eyes,1954,,
Linda Linda Linda,2005,,
The Great Beauty,2013,,
Tropical Malady,2004,,
Faust,1926,,
Brazil,1985,,
In Cold Blood,1967,,
My Dinner with Andre,1981,,
12th Fail,2023,,
Trouble in Paradise,1932,,
Punishment Park,1971,,
A Touch of Zen,1971,,
Canoa: A Shameful Memory,1976,,
Floating Weeds,1959,,
Iruvar,1997,,
Requiem for a Dream,2000,,
Roma,2018,,
"Welcome Back, Mr. McDonald",1997,,
Kamikaze Girls,2004,,
The Final Exit of the Disciples of Ascensia,2019,,
Late Autumn,1960,,
White Heat,1949,,
Vagabond,1985,,
Extraordinary Stories,2008,,
3-Iron,2004,,
Limelight,1952,,
Up,2009,,
"Oslo, August 31st",2011,,
A Summer's Tale,1996,,
Maborosi,1995,,
Viridiana,1961,,
I Dream in Another Language,2017,,
The Hustler,1961,,
The Cameraman,1928,,
Women on the Verge of a Nervous Breakdown,1988,,
Blindspotting,2018,,
The Twilight Samurai,2002,,
Indiana Jones and the Last Crusade,1989,,
Matewan,1987,,
"Bashu, the Little Stranger",1989,,
The Brick and the Mirror,1966,,
The Meetings of Anna,1978,,
Sonatine,1993,,
The Hero,1966,,
The Rocking Horsemen,1992,,
The Crowd,1928,,
Minari,2020,,
Elevator to the Gallows,1958,,
Ballad of a Soldier,1959,,
Spotlight,2015,,
The Piano Teacher,2001,,
Notorious,1946,,
Blue Velvet,1986,,
Shrek,2001,,
The Wind Rises,2013,,
Johnny Guitar,1954,,
They Don't Wear Black Tie,1981,,
The Brutalist,2024,,
Certified Copy,2010,,
Ghost in the Shell,1995,,
Gintama: The Movie: The Final Chapter: Be Forever Yorozuya,2013,,
To Kill a Mockingbird,1962,,
Another Round,2020,,
The Wild Bunch,1969,,
Death by Hanging,1968,,
And Then We Danced,2019,,
Fires on the Plain,1959,,
Son of Saul,2015,,
The Nightingale's Prayer,1959,,
A Story of Yonosuke,2013,,
Thief,1981,,
Paprika,2006,,
A Fugitive from the Past,1965,,
Au Hasard Balthazar,1966,,
"What's Up, Doc?",1972,,
Cowboy Bebop: The Movie,2001,,
The Thin Red Line,1998,,
"One Sings, the Other Doesn't",1977,,
Onibaba,1964,,
L'Avventura,1960,,
Hot Fuzz,2007,,
Phantom of the Paradise,1974,,
Diary of a Country Priest,1951,,
Rocky,1976,,
"Monsters, Inc.",2001,,
Camp de Thiaroye,1988,,
Only Angels Have Wings,1939,,
Blue Giant,2023,,
The Bad Sleep Well,1960,,
Blue Collar,1978,,
My Darling Clementine,1946,,
The Phantom Carriage,1921,,
Killers of the Flower Moon,2023,,
3 Idiots,2009,,
Carandiru,2003,,
Stroszek,1977,,
Our Little Sister,2015,,
I Am a Fugitive from a Chain Gang,1932,,
The Big Heat,1953,,
Made in Hong Kong,1997,,
Possession,1981,,
Being John Malkovich,1999,,
Us and Them,2018,,
Orpheus,1950,,
Godzilla Minus One,2023,,
Die Nibelungen: Kriemhild's Revenge,1924,,
The Tree of Wooden Clogs,1978,,
Ponyo,2008,,
The Rules of the Game,1939,,
Forever a Woman,1955,,
Lady Snowblood,1973,,
The Crown,2016,,
Date Wine,1998,,
Letter from an Unknown Woman,1948,,
Princes and Princesses,2000,,
Céline,1992,,
Sunny,2011,,
The Land,1970,,
No Longer Kids,1979,,
Down by Law,1986,,
The Incredibles,2004,,
L.A. Confidential,1997,,
The Insider,1999,,
Fiddler on the Roof,1971,,
Secret Sunshine,2007,,
Vive L'Amour,1994,,
Kill Bill: Vol. 2,2004,,
This Transient Life,1970,,
The Cabinet of Dr. Caligari,1920,,
Near Orouët,1971,,
Wasteland,2019,,
The Earrings of Madame de...,1953,,
Beauty and the Beast,1946,,
Naked,1993,,
Kneecap,2024,,
The Last Black Man in San Francisco,2019,,
Damnation,1988,,
Meiyazhagan,2024,,
Nine Queens,2000,,
Gone Girl,2014,,
This Is England,2006,,
La Chimera,2023,,
Die Hard,1988,,
Hunt for the Wilderpeople,2016,,
Vampire Hunter D: Bloodlust,2000,,
Being There,1979,,
August in the Water,1995,,
The Farewell,2019,,
Barton Fink,1991,,
Who's Singin' Over There?,1980,,
The Usual Suspects,1995,,
Love Letter,1995,,
A Simple Event,1973,,
Dou kyu sei – Classmates,2016,,
Mass,2021,,
Caché,2005,,
Decalogue I,1989,,
Decalogue V,1989,,
Decalogue VI,1989,,
Redline,2009,,
Forbidden Games,1952,,
Shrek 2,2004,,
Thalapathi,1991,,
The Children's Hour,1961,,
The Valley of the Bees,1968,,
Decalogue IV,1989,,
The Runner,1984,,
The Wrestler,2008,,
Wheel of Fortune and Fantasy,2021,,
Volver,2006,,
Eros + Massacre,1969,,
K-On! The Movie,2011,,
Robot Dreams,2023,,
The Princess Bride,1987,,
"Black Cat, White Cat",1998,,
Before Midnight,2013,,
Repentance,1984,,
Out 1,1971,,
What Time Is It There?,2001,,
The Train,1964,,
Dìdi (弟弟),2024,,
Barber's Tales,2013,,
Strangers on a Train,1951,,
Invisible Life,2019,,
Pain and Glory,2019,,
Ratcatcher,1999,,
The Witness,1969,,
"São Paulo, Incorporated",1965,,
I'm Still Here,2024,,
Happy End,1967,,
In This Corner of the World,2016,,
The Quiet Girl,2022,,
Mikey and Nicky,1976,,
Lost Highway,1997,"Stopped here, these first 800 are good",
Ed Wood,1994,,
One Cut of the Dead,2017,,
Tangerines,2013,,
The Saragossa Manuscript,1965,,
The Organizer,1963,,
When Harry Met Sally...,1989,,
Casting Blossoms to the Sky,2012,,
House of Hummingbird,2018,,
Letter Never Sent,1960,,
Shoeshine,1946,,
The Breadwinner,2017,,
The Street Player,1983,,
Burning,2018,,
Return of the Jedi,1983,,
All That Heaven Allows,1955,,
Hey Ram,2000,,
Local Legends,2013,,
Supermarket Woman,1996,,
Taipei Story,1985,,
Black Girl,1966,,
A Bride for Rip Van Winkle,2016,,
U.S. Go Home,1994,,
The Wind,1928,,
Carlito's Way,1993,,
"Crouching Tiger, Hidden Dragon",2000,,
Let the Right One In,2008,,
Platform,2000,,
Melancholia,2008,,
Boyfriends and Girlfriends,1987,,
Songs from the Second Floor,2000,,
The War Game,1966,,
The Beasts,2022,,
Almost Famous,2000,,
Mildred Pierce,1945,,
Eternity,2017,,
La Cérémonie,1995,,
Castle in the Sky,1986,,
The Taking of Pelham One Two Three,1974,,
The Eight Mountains,2022,,
The Great War,1959,,
Hovering Over the Water,1986,,
True Stories,1986,,
At the First Breath of Wind,2002,,
Boy,2010,,
Godzilla,1954,,
Kramer vs. Kramer,1979,,
Abraham's Valley,1993,,
Virumaandi,2004,,
Hedwig and the Angry Inch,2001,,
Kind Hearts and Coronets,1949,,
Syndromes and a Century,2006,,
The White Meadows,2009,,
The Circus,1928,,
The Music Room,1958,,
The Wind Will Carry Us,1999,,
His Girl Friday,1940,,
La Flor,2018,,
Castaway on the Moon,2009,,
Corpus Christi,2019,,
Visaranai,2015,,
Nothing But a Man,1964,,
2046,2004,,
Nightcrawler,2014,,
Land of Fear,2000,,
Boyz n the Hood,1991,,
The Sixth Sense,1999,,
Time for Revenge,1981,,
Billy Elliot,2000,,
"Three Billboards Outside Ebbing, Missouri",2017,,
Departures,2008,,
The 8 Diagram Pole Fighter,1984,,
Lady Vengeance,2005,,
Pierrot le Fou,1965,,
Tekkonkinkreet,2006,,
Hunger,1966,,
The Marriage of Maria Braun,1979,,
Kuroneko,1968,,
All Your Faces,2023,,
First Reformed,2017,,
Gavin & Stacey Christmas Special 2008,2008,,
Balkan Spy,1984,,
Annie Hall,1977,,
Ashes and Diamonds,1958,,
Mouchette,1967,,
Catch Me If You Can,2002,,
The Last Laugh,1924,,
The Trial,1962,,
I Saw the Devil,2010,,
The Hill,1965,,
West Indies,1979,,
The Watermelon Woman,1996,,
City of Pirates,1983,,
The Guns,1964,,
How to Train Your Dragon,2010,,
Finding Nemo,2003,,
Frances Ha,2012,,
Inside Llewyn Davis,2013,,
Cold War,2018,,
Ben-Hur,1959,,
The Death of Mr. Lazarescu,2005,,
Ida,2013,,
Laura,1944,,
The Gospel According to Matthew,1964,,
Jojo Rabbit,2019,,
Kizumonogatari Part 2: Nekketsu,2016,,
JFK,1991,,
Mon Oncle,1958,,
Kisapmata,1981,,
Siberiade,1979,,
Badlands,1973,,
Laapataa Ladies,2023,,
The Lighthouse,2019,,
Crimes and Misdemeanors,1989,,
Equinox Flower,1958,,
In Vanda's Room,2000,,
The Bridges of Madison County,1995,,
State of Siege,1972,,
I Am Twenty,1965,,
Aattam,2023,,
Interrogation,1989,,
Judas and the Black Messiah,2021,,
In the Heat of the Night,1967,,
Masaan,2015,,
Sing Street,2016,,
J'accuse,1919,,
A Scene at the Sea,1991,,
The Raid 2,2014,,
Head-On,2004,,
The Angel,1982,,
The Vanishing,1988,,
Vivre Sa Vie,1962,,
A Hidden Life,2019,,
"Norte, The End of History",2013,,
"This Is Not a Burial, It’s a Resurrection",2019,,
The Assassination of Jesse James by the Coward Robert Ford,2007,,
The Night of Counting the Years,1969,,
Compasso de Espera,1969,,
About Time,2013,,
A Raisin in the Sun,1961,,
"Oh, Sun",1970,,
How Green Was My Valley,1941,,
On the Silver Globe,1988,,
Superstar: The Karen Carpenter Story,1987,,
Hamlet,1964,,
"His Motorbike, Her Island",1986,,
Scream,1996,,
Sidewalls,2011,,
Laurence Anyways,2012,,
Batman: Mask of the Phantasm,1993,,
Greed,1924,,
Night and the City,1950,,
A Bronx Tale,1993,,
The Venture Bros.: Radiant Is the Blood of the Baboon Heart,2023,,
Shadows of Forgotten Ancestors,1965,,
The Favourite,2018,,
Three Men and a Leg,1997,,
The Time to Live and the Time to Die,1985,,
The 36th Chamber of Shaolin,1978,,
Memoir of a Snail,2024,,
Snatch,2000,,
Better Days,2019,,
Moonrise Kingdom,2012,,
Peeping Tom,1960,,
"I, Daniel Blake",2016,,
To the Left of the Father,2001,,
Little Forest,2018,,
Infernal Affairs,2002,,
Ghost Dog: The Way of the Samurai,1999,,
The Prince of Egypt,1998,,
Decalogue IX,1989,,
The Wild Pear Tree,2018,,
Babette's Feast,1987,,
Swallowtail Butterfly,1996,,
Four Adventures of Reinette and Mirabelle,1987,,
Pudhupettai,2006,,
"That Day, on the Beach",1983,,
Personal Problems,1980,,
Voyage to Cythera,1984,,
Love in the Afternoon,1972,,
Mangrove,2020,,
Ship of Theseus,2012,,
The World of Apu,1959,,
The Godfather Part II,1974,,
The Truman Show,1998,,
Pretend That You Love Me,2020,,
"Sherlock, Jr.",1924,,
There’s Still Tomorrow,2023,,
Early Spring,1956,,
Evil Dead II,1987,,
The Testament of Dr. Mabuse,1933,,
The Cloud-Capped Star,1960,,
The Bridge,1959,,
Gett: The Trial of Viviane Amsalem,2014,,
Les Misérables,1934,,
Black Narcissus,1947,,
A Difficult Life,1961,,
Zodiac,2007,,
Hunger,2008,,
Fantastic Planet,1973,,
